row_number,symbol,name,current_price,price_dollar_change,price_percent_change,percent_off_high,vol_percent_change_vs_50day,avg_vol_50day,avg_dollar_vol_50day,ipo_date
84,MDGL,Madrigal Pharmaceuticals,427.27,-1.03,-0.2,-7.84,-70.6,375,"162,711","9,523.4"
85,IONS,Ionis Pharmaceuticals,69.82,-0.45,-0.6,-2.85,-53.5,"2,655","189,714","11,128.7"
86,GMAB,Genmab ADR,31.85,-0.01,-0.0,-5.31,-3.6,"1,758","54,724","21,080.5"
87,MIRM,Mirum Pharmaceuticals,71.83,-1.99,-2.7,-8.55,-20.8,831,"58,864","3,608.5"
88,ARWR,Arrowhead Pharm,35.98,-0.08,-0.2,-8.73,-19.5,"2,554","92,136","4,974.5"
89,TARS,Tarsus Pharmaceuticals,69.00,-1.39,-2.0,-2.52,-5.7,719,"50,800","2,912.6"
90,CORT,Corcept Therapeutics,76.86,-11.50,-13.0,-34.49,720.3,849,"75,415","8,099.1"
91,QBTS,D-Wave Quantum,33.70,-1.37,-3.9,-14.79,3.0,"49,699","1,722,701","11,411.0"
92,SMCI,Super Micro Computer,57.98,0.00,0.0,-12.73,-26.6,"31,747","1,867,646","34,455.9"
93,LOGI,Logitech International,108.78,-0.51,-0.5,-5.36,-44.3,529,"62,022","16,022.9"
94,DELL,Dell Technologies Cl C,157.03,1.08,0.7,-5.46,55.1,"7,030","1,066,682","106,596.3"
95,LRCX,Lam Research,140.02,-0.99,-0.7,-8.90,-40.0,"12,160","1,727,052","177,205.9"
96,ASML,ASML Holding,973.84,-6.70,-0.7,-8.04,1.0,"1,514","1,483,262","383,108.7"
